title;Body;Nid;postdate;Published;startdate;enddate;Term;LocationName;Uid;username
Nieuwjaarsconcert, bedanking Ruben en repetitie in CC De Roose;Repetitie in CC De Roose: 15-17u30<br/>repetitie met Ruben 17u30-18u.<br/>programma concert:<br/>La Folia<br/>Canarios<br/>Danza ritual del fuego<br/>La Anadidura<br/>Dreams of Jamaica: gedirigeerd door Ruben<br/>Broodjes eten samen met Ruben, Ellen en oud-bestuursleden<br/>Doorlopend fotoshow, met alle fotos van Ruben die we konden terugvinden. <br/>concert om 19u30<br/>gevolgd door receptie, met hapjes.;585;1357505213;Yes;1360418400;1360443600;Optreden;CC De Roose;2;marleen
repetitie in OC De Roose en erna concert!;Voor wie meer wil weten, of het wil vinden...<br/>http://www.waregem.be/adressen/oc-de-roose-so-de-biest<br/>dus:<br/>repetitie 15-17u30<br/>repetitie met Ruben 17u30-18u<br/>broodjes eten<br/>19u30 concert in OC De Roose;591;1359927932;Yes;1360418400;1360429200;Repetitie;OC De Roose;2;marleen
Repetitie met allemaal in MUZIEKACADEMIE;programma volgende week:<br/>Canarios<br/>Folia<br/>Vuurdans<br/>Anadidura<br/>Dreams of Jamaica<br/>concerto : passages...;584;1357504981;Yes;1359882000;1359891000;Repetitie;Haendelklas;2;marleen
Repetitie, vooral studenten maar wie wil is welkom!;Van 14-15u30: stem 3 en 4 en bas van het concerto<br/>concerto<br/>Canarios en Folia<br/>Danza del juego<br/>en ook de moeilijke passages uit het concerto. <br/>15u30-17u:<br/>concerto: stem 1 en 2 van het concerto<br/>Canarios en Folia<br/>Danza del juego<br/>en ook de moeilijke passages uit het concerto<br/>Een inhaalmanoeuvre voor de studenten, maar zoals in de titel gezegd: ook de anderen zijn welkom.;583;1357504849;Yes;1359810000;1359820800;Repetitie;Ernest Claesklas;2;marleen
Wel repetitie;Vuurdans<br/>Danza del juego<br/>Concerto: ik kies een paar passages :-)<br/>La Folia<br/>en op aanvraag: einde van la anadidura.;582;1357504636;Yes;1359205200;1359212400;Repetitie;Ernest Claesklas;2;marleen
Geen repetitie;;581;1357504562;Yes;1358550000;1358550000;Repetitie;;2;marleen
Repetitie;Het eerste deel van het concerto, en enkele passages uit 2e en 3e deel<br/>Danza del juego de amor<br/>Canarios;580;1357504536;Yes;1357995600;1358002800;Repetitie;;2;marleen
eerste repetitie van 2013;concerto deel 3<br/>Folia<br/>danza del juego<br/>Canarios;578;1353962258;Yes;1357462800;1357471800;Repetitie;Torenhofschool;2;marleen
repetitie;Anadidura<br/>Canarios+ la folia<br/>Danza del juego<br/>Danza ritual del fuego<br/>en een willekeurige passage uit het concerto.... hangt van mijn (ochtend) humeur af.;576;1352496663;Yes;1356253200;1356262200;Repetitie;Torenhof;2;marleen
geen repetitie;geen repetitie dus, wel morgen...;577;1352496708;Yes;1356130800;1356130800;Repetitie;;2;marleen
repetitie met duo Flamas, ook tot 16u30;De drie delen van het concerto, zo goed mogelijk!!;575;1352496601;Yes;1355576400;1355585400;Repetitie;Ernest Claesklas;2;marleen
repetitie;La Anadidura<br/>Danza del juego<br/>concerto: de moeilijke passages (alles??);574;1352496560;Yes;1354971600;1354978800;Repetitie;Ernest Claesklas;2;marleen
repetitie;Canarios<br/>Danza del juego de amor<br/>eerste deel concerto;573;1352496519;Yes;1354366800;1354374000;Repetitie;Ernest Claesklas;2;marleen
repetitie met duo Flâmas, een beetje langer;Het volledige concerto wordt geoefend.<br/>deel 2 heel erg goed doornemen.<br/>Deel 1 en 3 in full speed!;554;1344446493;Yes;1353762000;1353771000;Repetitie;Ernest Claesklas;2;marleen
repetitie met duo Flâmas, een beetje langer;Het volledige concerto wordt geoefend.<br/>deel 2 heel erg goed doornemen.<br/>Deel 1 en 3 in full speed!;554;1344446493;Yes;1353762000;1353771000;Optreden;Ernest Claesklas;2;marleen
Repetitie;;566;1345749386;Yes;1353157200;1353164400;Repetitie;;2;marleen
Bezoek van Gitaarorkest Deinze vanaf 14u.  Concert om 18u daarna gezamenlijk etentje.;14u: ontvangst in Oblatenauditorium, koffie, repetities <br/>18u: concert in Oblatenauditorium<br/>19u30 gezamenlijk etentje in Oblatenauditorium<br/>programma concert:<br/>Palladio (gezamenlijk als begin van het concert)<br/>Dreams of Jamaica<br/>Rumba con trastes<br/>Vuurdans<br/>Back to the future<br/>Voornamtous (gezamenlijk op einde concert) <br/>....;551;1340878065;Yes;1352554200;1352584800;Repetitie;Oblatenauditorium;2;marleen
